config,frequency_hz,run,send_ts_us,recv_ts_us,rtt_ms,status
serial_microros_besteffort,100,4,1775643648396342,1775643648401880,5.538,ok
serial_microros_besteffort,100,4,1775643648406440,1775643648412046,5.606,ok
serial_microros_besteffort,100,4,1775643648416424,1775643648421154,4.73,ok
serial_microros_besteffort,100,4,1775643648426465,1775643648431052,4.587,ok
serial_microros_besteffort,100,4,1775643648436509,1775643648441024,4.515,ok
serial_microros_besteffort,100,4,1775643648446509,1775643648450990,4.481,ok
serial_microros_besteffort,100,4,1775643648456512,1775643648461099,4.587,ok
serial_microros_besteffort,100,4,1775643648466510,1775643648471134,4.624,ok
serial_microros_besteffort,100,4,1775643648476491,1775643648480820,4.329,ok
serial_microros_besteffort,100,4,1775643648486515,1775643648491133,4.618,ok
serial_microros_besteffort,100,4,1775643648496522,1775643648501125,4.603,ok
serial_microros_besteffort,100,4,1775643648506521,1775643648511139,4.618,ok
serial_microros_besteffort,100,4,1775643648516527,1775643648521119,4.592,ok
serial_microros_besteffort,100,4,1775643648526526,1775643648530984,4.458,ok
serial_microros_besteffort,100,4,1775643648536510,1775643648540959,4.449,ok
serial_microros_besteffort,100,4,1775643648546526,1775643648551077,4.551,ok
serial_microros_besteffort,100,4,1775643648556508,1775643648561149,4.641,ok
serial_microros_besteffort,100,4,1775643648566511,1775643648571026,4.515,ok
serial_microros_besteffort,100,4,1775643648576427,1775643648581093,4.666,ok
serial_microros_besteffort,100,4,1775643648586500,1775643648590917,4.417,ok
serial_microros_besteffort,100,4,1775643648596456,1775643648600991,4.535,ok
serial_microros_besteffort,100,4,1775643648606455,1775643648611102,4.647,ok
serial_microros_besteffort,100,4,1775643648616465,1775643648620988,4.523,ok
serial_microros_besteffort,100,4,1775643648626506,1775643648631076,4.57,ok
serial_microros_besteffort,100,4,1775643648636510,1775643648641035,4.525,ok
serial_microros_besteffort,100,4,1775643648646508,1775643648651034,4.526,ok
serial_microros_besteffort,100,4,1775643648656512,1775643648661005,4.493,ok
serial_microros_besteffort,100,4,1775643648666506,1775643648671049,4.543,ok
serial_microros_besteffort,100,4,1775643648676426,1775643648680935,4.509,ok
serial_microros_besteffort,100,4,1775643648686502,1775643648690975,4.473,ok
serial_microros_besteffort,100,4,1775643648696512,1775643648700831,4.319,ok
serial_microros_besteffort,100,4,1775643648706423,1775643648710880,4.457,ok
serial_microros_besteffort,100,4,1775643648716485,1775643648720986,4.501,ok
serial_microros_besteffort,100,4,1775643648726522,1775643648731096,4.574,ok
serial_microros_besteffort,100,4,1775643648736518,1775643648741264,4.746,ok
serial_microros_besteffort,100,4,1775643648746516,1775643648751379,4.863,ok
serial_microros_besteffort,100,4,1775643648756522,1775643648761125,4.603,ok
serial_microros_besteffort,100,4,1775643648766509,1775643648771180,4.671,ok
serial_microros_besteffort,100,4,1775643648776495,1775643648781392,4.897,ok
serial_microros_besteffort,100,4,1775643648786510,1775643648791181,4.671,ok
serial_microros_besteffort,100,4,1775643648796475,1775643648801107,4.632,ok
serial_microros_besteffort,100,4,1775643648806473,1775643648811106,4.633,ok
serial_microros_besteffort,100,4,1775643648816476,1775643648821080,4.604,ok
serial_microros_besteffort,100,4,1775643648826487,1775643648831040,4.553,ok
serial_microros_besteffort,100,4,1775643648836536,1775643648841009,4.473,ok
serial_microros_besteffort,100,4,1775643648846510,1775643648851029,4.519,ok
serial_microros_besteffort,100,4,1775643648856507,1775643648861038,4.531,ok
serial_microros_besteffort,100,4,1775643648866496,1775643648870919,4.423,ok
serial_microros_besteffort,100,4,1775643648876496,1775643648880943,4.447,ok
serial_microros_besteffort,100,4,1775643648886409,1775643648890793,4.384,ok
serial_microros_besteffort,100,4,1775643648896508,1775643648901077,4.569,ok
serial_microros_besteffort,100,4,1775643648906509,1775643648911095,4.586,ok
serial_microros_besteffort,100,4,1775643648916513,1775643648920965,4.452,ok
serial_microros_besteffort,100,4,1775643648926508,1775643648931048,4.54,ok
serial_microros_besteffort,100,4,1775643648936512,1775643648941253,4.741,ok
serial_microros_besteffort,100,4,1775643648946488,1775643648951308,4.82,ok
serial_microros_besteffort,100,4,1775643648956507,1775643648961116,4.609,ok
serial_microros_besteffort,100,4,1775643648966509,1775643648971061,4.552,ok
serial_microros_besteffort,100,4,1775643648976506,1775643648981157,4.651,ok
serial_microros_besteffort,100,4,1775643648986514,1775643648991164,4.65,ok
serial_microros_besteffort,100,4,1775643648996487,1775643649001063,4.576,ok
serial_microros_besteffort,100,4,1775643649006529,1775643649011338,4.809,ok
serial_microros_besteffort,100,4,1775643649016476,1775643649021001,4.525,ok
serial_microros_besteffort,100,4,1775643649026470,1775643649031122,4.652,ok
serial_microros_besteffort,100,4,1775643649036417,1775643649041080,4.663,ok
serial_microros_besteffort,100,4,1775643649046519,1775643649050944,4.425,ok
serial_microros_besteffort,100,4,1775643649056523,1775643649061384,4.861,ok
serial_microros_besteffort,100,4,1775643649066503,1775643649071156,4.653,ok
serial_microros_besteffort,100,4,1775643649076505,1775643649081311,4.806,ok
serial_microros_besteffort,100,4,1775643649086454,1775643649091084,4.63,ok
serial_microros_besteffort,100,4,1775643649096493,1775643649101046,4.553,ok
serial_microros_besteffort,100,4,1775643649106523,1775643649111248,4.725,ok
serial_microros_besteffort,100,4,1775643649116493,1775643649121021,4.528,ok
serial_microros_besteffort,100,4,1775643649126495,1775643649131098,4.603,ok
serial_microros_besteffort,100,4,1775643649136511,1775643649141097,4.586,ok
serial_microros_besteffort,100,4,1775643649146419,1775643649151126,4.707,ok
serial_microros_besteffort,100,4,1775643649156510,1775643649161270,4.76,ok
serial_microros_besteffort,100,4,1775643649166506,1775643649171111,4.605,ok
serial_microros_besteffort,100,4,1775643649176522,1775643649181274,4.752,ok
serial_microros_besteffort,100,4,1775643649186523,1775643649191129,4.606,ok
