config,frequency_hz,run,send_ts_us,recv_ts_us,rtt_ms,status
serial_microros_reliable,10,2,1775630073841753,1775630073848085,6.332,ok
serial_microros_reliable,10,2,1775630073941860,1775630073947240,5.38,ok
serial_microros_reliable,10,2,1775630074041859,1775630074047421,5.562,ok
serial_microros_reliable,10,2,1775630074142395,1775630074147932,5.537,ok
serial_microros_reliable,10,2,1775630074241945,1775630074247515,5.57,ok
serial_microros_reliable,10,2,1775630074342394,1775630074347973,5.579,ok
serial_microros_reliable,10,2,1775630074441858,1775630074447499,5.641,ok
serial_microros_reliable,10,2,1775630074541858,1775630074547504,5.646,ok
serial_microros_reliable,10,2,1775630074641935,1775630074647426,5.491,ok
serial_microros_reliable,10,2,1775630074742407,1775630074748028,5.621,ok
serial_microros_reliable,10,2,1775630074841903,1775630074847579,5.676,ok
serial_microros_reliable,10,2,1775630074942392,1775630074948280,5.888,ok
serial_microros_reliable,10,2,1775630075041893,1775630075047268,5.375,ok
serial_microros_reliable,10,2,1775630075141911,1775630075147484,5.573,ok
serial_microros_reliable,10,2,1775630075241895,1775630075247390,5.495,ok
serial_microros_reliable,10,2,1775630075341905,1775630075347415,5.51,ok
serial_microros_reliable,10,2,1775630075441849,1775630075447534,5.685,ok
serial_microros_reliable,10,2,1775630075541926,1775630075547373,5.447,ok
serial_microros_reliable,10,2,1775630075641926,1775630075647656,5.73,ok
serial_microros_reliable,10,2,1775630075741935,1775630075747583,5.648,ok
serial_microros_reliable,10,2,1775630075841865,1775630075847792,5.927,ok
serial_microros_reliable,10,2,1775630075941857,1775630075947549,5.692,ok
serial_microros_reliable,10,2,1775630076042338,1775630076047770,5.432,ok
serial_microros_reliable,10,2,1775630076142405,1775630076147726,5.321,ok
serial_microros_reliable,10,2,1775630076241931,1775630076247311,5.38,ok
serial_microros_reliable,10,2,1775630076341891,1775630076347041,5.15,ok
serial_microros_reliable,10,2,1775630076442406,1775630076447875,5.469,ok
serial_microros_reliable,10,2,1775630076541912,1775630076547495,5.583,ok
serial_microros_reliable,10,2,1775630076642410,1775630076647869,5.459,ok
serial_microros_reliable,10,2,1775630076742324,1775630076747767,5.443,ok
serial_microros_reliable,10,2,1775630076841914,1775630076847196,5.282,ok
serial_microros_reliable,10,2,1775630076942335,1775630076947848,5.513,ok
serial_microros_reliable,10,2,1775630077041843,1775630077047142,5.299,ok
serial_microros_reliable,10,2,1775630077142330,1775630077147896,5.566,ok
serial_microros_reliable,10,2,1775630077242319,1775630077247580,5.261,ok
serial_microros_reliable,10,2,1775630077342317,1775630077347851,5.534,ok
serial_microros_reliable,10,2,1775630077442321,1775630077447521,5.2,ok
serial_microros_reliable,10,2,1775630077541929,1775630077546955,5.026,ok
serial_microros_reliable,10,2,1775630077642425,1775630077647742,5.317,ok
serial_microros_reliable,10,2,1775630077741920,1775630077747322,5.402,ok
serial_microros_reliable,10,2,1775630077841926,1775630077847468,5.542,ok
serial_microros_reliable,10,2,1775630077941921,1775630077947323,5.402,ok
serial_microros_reliable,10,2,1775630078042420,1775630078047855,5.435,ok
serial_microros_reliable,10,2,1775630078141842,1775630078147541,5.699,ok
