config,frequency_hz,run,send_ts_us,recv_ts_us,rtt_ms,status
wifi_microros_besteffort,100,3,1776664809292835,1776664809309040,16.205,ok
wifi_microros_besteffort,100,3,1776664809303057,1776664809312182,9.125,ok
wifi_microros_besteffort,100,3,1776664809313048,1776664809322821,9.773,ok
wifi_microros_besteffort,100,3,1776664809323207,1776664809333512,10.305,ok
wifi_microros_besteffort,100,3,1776664809332906,1776664809344780,11.874,ok
wifi_microros_besteffort,100,3,1776664809343057,1776664809353493,10.436,ok
wifi_microros_besteffort,100,3,1776664809352977,1776664809366745,13.768,ok
wifi_microros_besteffort,100,3,1776664809363064,1776664809370367,7.303,ok
wifi_microros_besteffort,100,3,1776664809373048,1776664809419500,46.452,ok
wifi_microros_besteffort,100,3,1776664809383073,1776664809423428,40.355,ok
wifi_microros_besteffort,100,3,1776664809393067,1776664809423693,30.626,ok
wifi_microros_besteffort,100,3,1776664809403073,1776664809423932,20.859,ok
wifi_microros_besteffort,100,3,1776664809413065,1776664809424160,11.095,ok
wifi_microros_besteffort,100,3,1776664809422941,1776664809433464,10.523,ok
wifi_microros_besteffort,100,3,1776664809432909,1776664809453932,21.023,ok
wifi_microros_besteffort,100,3,1776664809443055,1776664809454376,11.321,ok
wifi_microros_besteffort,100,3,1776664809453067,1776664809464880,11.813,ok
wifi_microros_besteffort,100,3,1776664809463047,1776664809473231,10.184,ok
wifi_microros_besteffort,100,3,1776664809472901,1776664809482424,9.523,ok
wifi_microros_besteffort,100,3,1776664809482901,1776664809493552,10.651,ok
wifi_microros_besteffort,100,3,1776664809492925,1776664809506498,13.573,ok
wifi_microros_besteffort,100,3,1776664809503057,1776664809514742,11.685,ok
wifi_microros_besteffort,100,3,1776664809513073,1776664809576112,63.039,ok
wifi_microros_besteffort,100,3,1776664809523058,1776664809576646,53.588,ok
wifi_microros_besteffort,100,3,1776664809533072,1776664809576878,43.806,ok
wifi_microros_besteffort,100,3,1776664809543069,1776664809577113,34.044,ok
wifi_microros_besteffort,100,3,1776664809553073,1776664809577374,24.301,ok
wifi_microros_besteffort,100,3,1776664809563020,1776664809577594,14.574,ok
wifi_microros_besteffort,100,3,1776664809573068,1776664809580780,7.712,ok
wifi_microros_besteffort,100,3,1776664809583049,1776664809603502,20.453,ok
wifi_microros_besteffort,100,3,1776664809593059,1776664809609206,16.147,ok
wifi_microros_besteffort,100,3,1776664809602915,1776664809615914,12.999,ok
wifi_microros_besteffort,100,3,1776664809613242,1776664809621550,8.308,ok
wifi_microros_besteffort,100,3,1776664809623256,1776664809631344,8.088,ok
wifi_microros_besteffort,100,3,1776664809633044,1776664809640336,7.292,ok
wifi_microros_besteffort,100,3,1776664809643056,1776664809728767,85.711,ok
wifi_microros_besteffort,100,3,1776664809653053,1776664809731653,78.6,ok
wifi_microros_besteffort,100,3,1776664809663233,1776664809731917,68.684,ok
wifi_microros_besteffort,100,3,1776664809673054,1776664809732162,59.108,ok
wifi_microros_besteffort,100,3,1776664809683068,1776664809740287,57.219,ok
wifi_microros_besteffort,100,3,1776664809692904,1776664809741173,48.269,ok
wifi_microros_besteffort,100,3,1776664809703054,1776664809741422,38.368,ok
wifi_microros_besteffort,100,3,1776664809713054,1776664809741644,28.59,ok
wifi_microros_besteffort,100,3,1776664809722935,1776664809741858,18.923,ok
wifi_microros_besteffort,100,3,1776664809732899,1776664809743372,10.473,ok
wifi_microros_besteffort,100,3,1776664809742968,1776664809761242,18.274,ok
wifi_microros_besteffort,100,3,1776664809753074,1776664809761623,8.549,ok
wifi_microros_besteffort,100,3,1776664809763051,1776664809776692,13.641,ok
wifi_microros_besteffort,100,3,1776664809773202,1776664809781434,8.232,ok
wifi_microros_besteffort,100,3,1776664809793076,1776664810057139,264.063,ok
wifi_microros_besteffort,100,3,1776664809833070,1776664810061267,228.197,ok
wifi_microros_besteffort,100,3,1776664809843034,1776664810061588,218.554,ok
wifi_microros_besteffort,100,3,1776664809853032,1776664810061835,208.803,ok
wifi_microros_besteffort,100,3,1776664809863018,1776664810062076,199.058,ok
wifi_microros_besteffort,100,3,1776664809873201,1776664810063529,190.328,ok
wifi_microros_besteffort,100,3,1776664809883076,1776664810063783,180.707,ok
wifi_microros_besteffort,100,3,1776664809893252,1776664810064180,170.928,ok
wifi_microros_besteffort,100,3,1776664809903254,1776664810064419,161.165,ok
wifi_microros_besteffort,100,3,1776664809913440,1776664810064640,151.2,ok
wifi_microros_besteffort,100,3,1776664809923440,1776664810064940,141.5,ok
wifi_microros_besteffort,100,3,1776664809933440,1776664810065190,131.75,ok
wifi_microros_besteffort,100,3,1776664809943093,1776664810065548,122.455,ok
wifi_microros_besteffort,100,3,1776664809953052,1776664810065768,112.716,ok
wifi_microros_besteffort,100,3,1776664809963169,1776664810066001,102.832,ok
wifi_microros_besteffort,100,3,1776664809973233,1776664810066214,92.981,ok
wifi_microros_besteffort,100,3,1776664809983055,1776664810066424,83.369,ok
wifi_microros_besteffort,100,3,1776664809993075,1776664810068274,75.199,ok
wifi_microros_besteffort,100,3,1776664810003059,1776664810068522,65.463,ok
wifi_microros_besteffort,100,3,1776664810013076,1776664810069568,56.492,ok
wifi_microros_besteffort,100,3,1776664810023057,1776664810071558,48.501,ok
wifi_microros_besteffort,100,3,1776664810033251,1776664810071882,38.631,ok
wifi_microros_besteffort,100,3,1776664810043249,1776664810083860,40.611,ok
wifi_microros_besteffort,100,3,1776664810053231,1776664810084254,31.023,ok
wifi_microros_besteffort,100,3,1776664810063028,1776664810084488,21.46,ok
wifi_microros_besteffort,100,3,1776664810073045,1776664810084709,11.664,ok
wifi_microros_besteffort,100,3,1776664810083077,1776664810091298,8.221,ok
wifi_microros_besteffort,100,3,1776664810093051,1776664810101198,8.147,ok
wifi_microros_besteffort,100,3,1776664810103048,1776664810115824,12.776,ok
wifi_microros_besteffort,100,3,1776664810113060,1776664810124685,11.625,ok
wifi_microros_besteffort,100,3,1776664810123056,1776664810132670,9.614,ok
wifi_microros_besteffort,100,3,1776664810133095,1776664810142922,9.827,ok
wifi_microros_besteffort,100,3,1776664810143399,1776664810152160,8.761,ok
wifi_microros_besteffort,100,3,1776664810153056,1776664810165603,12.547,ok
wifi_microros_besteffort,100,3,1776664810162898,1776664810173823,10.925,ok
wifi_microros_besteffort,100,3,1776664810173062,1776664810185672,12.61,ok
wifi_microros_besteffort,100,3,1776664810183051,1776664810190121,7.07,ok
wifi_microros_besteffort,100,3,1776664810193078,1776664810203537,10.459,ok
wifi_microros_besteffort,100,3,1776664810202973,1776664810255994,53.021,ok
wifi_microros_besteffort,100,3,1776664810213056,1776664810272494,59.438,ok
wifi_microros_besteffort,100,3,1776664810223079,1776664810272758,49.679,ok
wifi_microros_besteffort,100,3,1776664810233051,1776664810273016,39.965,ok
wifi_microros_besteffort,100,3,1776664810243072,1776664810273336,30.264,ok
wifi_microros_besteffort,100,3,1776664810253388,1776664810273559,20.171,ok
wifi_microros_besteffort,100,3,1776664810263044,1776664810273774,10.73,ok
wifi_microros_besteffort,100,3,1776664810274101,1776664810288934,14.833,ok
wifi_microros_besteffort,100,3,1776664810283083,1776664810295651,12.568,ok
wifi_microros_besteffort,100,3,1776664810293029,1776664810302484,9.455,ok
wifi_microros_besteffort,100,3,1776664810302938,1776664810392825,89.887,ok
wifi_microros_besteffort,100,3,1776664810313060,1776664810393138,80.078,ok
wifi_microros_besteffort,100,3,1776664810323466,1776664810394340,70.874,ok
wifi_microros_besteffort,100,3,1776664810333376,1776664810394612,61.236,ok
wifi_microros_besteffort,100,3,1776664810343238,1776664810394837,51.599,ok
wifi_microros_besteffort,100,3,1776664810353051,1776664810395077,42.026,ok
wifi_microros_besteffort,100,3,1776664810363057,1776664810395363,32.306,ok
wifi_microros_besteffort,100,3,1776664810373251,1776664810395586,22.335,ok
wifi_microros_besteffort,100,3,1776664810382946,1776664810395821,12.875,ok
wifi_microros_besteffort,100,3,1776664810393424,1776664810415137,21.713,ok
wifi_microros_besteffort,100,3,1776664810403048,1776664810421100,18.052,ok
wifi_microros_besteffort,100,3,1776664810413057,1776664810422888,9.831,ok
wifi_microros_besteffort,100,3,1776664810423415,1776664810437347,13.932,ok
wifi_microros_besteffort,100,3,1776664810433049,1776664810442489,9.44,ok
wifi_microros_besteffort,100,3,1776664810442937,1776664810450711,7.774,ok
wifi_microros_besteffort,100,3,1776664810453054,1776664810460693,7.639,ok
wifi_microros_besteffort,100,3,1776664810463061,1776664810477686,14.625,ok
wifi_microros_besteffort,100,3,1776664810473056,1776664810480688,7.632,ok
wifi_microros_besteffort,100,3,1776664810483052,1776664810493737,10.685,ok
wifi_microros_besteffort,100,3,1776664810493051,1776664810539177,46.126,ok
wifi_microros_besteffort,100,3,1776664810503051,1776664810540024,36.973,ok
wifi_microros_besteffort,100,3,1776664810513067,1776664810540265,27.198,ok
wifi_microros_besteffort,100,3,1776664810523064,1776664810540481,17.417,ok
wifi_microros_besteffort,100,3,1776664810533071,1776664810544928,11.857,ok
wifi_microros_besteffort,100,3,1776664810543080,1776664810552939,9.859,ok
wifi_microros_besteffort,100,3,1776664810553412,1776664810563379,9.967,ok
wifi_microros_besteffort,100,3,1776664810562904,1776664810584641,21.737,ok
wifi_microros_besteffort,100,3,1776664810573055,1776664810592273,19.218,ok
